MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
9,21,	0.275959,	0.202344,	0.051808,	0.157040,	1.584852
9,22,	0.280647,	0.155957,	0.054225,	0.157112,	1.549665
9,23,	0.276839,	0.212129,	0.066366,	0.156311,	1.608328
9,24,	0.276566,	0.201808,	0.050407,	0.159208,	1.617779
10,1,	0.481725,	0.363302,	0.049290,	0.407037,	2.661475
10,2,	0.348963,	0.196263,	0.049394,	0.252445,	1.634730
10,3,	0.316029,	0.140536,	0.048573,	0.214126,	1.373172
10,4,	0.306113,	0.196623,	0.058466,	0.220661,	1.255601
10,5,	0.364086,	0.195877,	0.062304,	0.250549,	1.337525
10,6,	0.460400,	0.199753,	0.068580,	0.246359,	1.412857
10,7,	0.437891,	0.219017,	0.048562,	0.243602,	1.359586
10,8,	0.410581,	0.249251,	0.066490,	0.286577,	1.384893
10,9,	0.752980,	0.211557,	0.076742,	0.330414,	1.774659
10,10,	0.787508,	0.198878,	0.137850,	0.362735,	2.029640
10,11,	0.819453,	0.263122,	0.123186,	0.420082,	2.051224
10,12,	1.004503,	0.329939,	0.054578,	0.413997,	2.180364
10,13,	0.284935,	0.164768,	0.050004,	0.160405,	1.049509
10,14,	0.281426,	0.159413,	0.050223,	0.156599,	1.039187
10,15,	0.289200,	0.171360,	0.102036,	0.157580,	1.065996
10,16,	0.284745,	0.176149,	0.102529,	0.169164,	1.055971
10,17,	0.286829,	0.176971,	0.060763,	0.164297,	1.058556
10,18,	0.291381,	0.159337,	0.127609,	0.160024,	1.072282
10,19,	0.288804,	0.162626,	0.053759,	0.166920,	1.125542
10,20,	0.281421,	0.204630,	0.052403,	0.158204,	1.086500
10,21,	0.283923,	0.212231,	0.050253,	0.151407,	1.128489
10,22,	0.289227,	0.163047,	0.050977,	0.157697,	1.123888
10,23,	0.283560,	0.220990,	0.100177,	0.160504,	1.102749
10,24,	0.282328,	0.232294,	0.053116,	0.158263,	1.141441
11,1,	0.480604,	0.364103,	0.049471,	0.410550,	2.658074
11,2,	0.350048,	0.195900,	0.049095,	0.252005,	1.633293
11,3,	0.316655,	0.237204,	0.048266,	0.235079,	1.437947
11,4,	0.337679,	0.237404,	0.049043,	0.234676,	1.349735
11,5,	0.421414,	0.275939,	0.061861,	0.253976,	1.432299
11,6,	0.547860,	0.268580,	0.069557,	0.288679,	1.574358
11,7,	0.571005,	0.244932,	0.084522,	0.295112,	1.609454
11,8,	0.736674,	0.328956,	0.053045,	0.365679,	1.910477
11,9,	0.834335,	0.275143,	0.135520,	0.366393,	2.043847
11,10,	0.951293,	0.256918,	0.059555,	0.424835,	2.298525
11,11,	0.939589,	0.285390,	0.159447,	0.447579,	2.317934
11,12,	1.042335,	0.315274,	0.118611,	0.454997,	2.494415
11,13,	0.310679,	0.194654,	0.049597,	0.167579,	1.168205
11,14,	0.288946,	0.270146,	0.125743,	0.171890,	1.134815
11,15,	0.291853,	0.203472,	0.147228,	0.168981,	1.139175
11,16,	0.300966,	0.183830,	0.113632,	0.172776,	1.167749
11,17,	0.293165,	0.245546,	0.097939,	0.170058,	1.147319
11,18,	0.298437,	0.234104,	0.052292,	0.175347,	1.174560
11,19,	0.285311,	0.220286,	0.071834,	0.172818,	1.177324
11,20,	0.294408,	0.190630,	0.125187,	0.159857,	1.170295
11,21,	0.294713,	0.203055,	0.162024,	0.171094,	1.170734
11,22,	0.289533,	0.204300,	0.083654,	0.171413,	1.236173
11,23,	0.313233,	0.244549,	0.058818,	0.168443,	1.238442
11,24,	0.298629,	0.197200,	0.073268,	0.165037,	1.249293
12,1,	0.482068,	0.364649,	0.049391,	0.407055,	1.748367
12,2,	0.350273,	0.195711,	0.049069,	0.252346,	1.108953
12,3,	0.338377,	0.196377,	0.049082,	0.243590,	1.076207
12,4,	0.321357,	0.229047,	0.086932,	0.239512,	1.048238
12,5,	0.429702,	0.292949,	0.048252,	0.275270,	1.195542
12,6,	0.508020,	0.255563,	0.062507,	0.293128,	1.343673
12,7,	0.442114,	0.291572,	0.048509,	0.296772,	1.327379
12,8,	0.812620,	0.296158,	0.121232,	0.341957,	1.770604
12,9,	0.842519,	0.249892,	0.140913,	0.452845,	1.929213
12,10,	0.892874,	0.355942,	0.093027,	0.428984,	1.990116
12,11,	1.057133,	0.342194,	0.099524,	0.489034,	2.228173
12,12,	1.165557,	0.302424,	0.113965,	0.538345,	2.490951
12,13,	0.309171,	0.249819,	0.087344,	0.174150,	0.927079
12,14,	0.312680,	0.229619,	0.077985,	0.173947,	0.941915
12,15,	0.295225,	0.173747,	0.054160,	0.176741,	0.913041
