5,21,	0.719095,	0.239058,	0.251880,	0.341247,	3.113175
5,22,	0.695836,	0.254129,	0.300641,	0.348659,	3.160136
5,23,	0.728000,	0.224645,	0.256670,	0.351982,	3.072948
5,24,	0.690060,	0.231833,	0.253458,	0.343526,	3.043624
6,1,	1.396059,	2.273536,	0.293576,	1.190733,	7.996616
6,2,	1.032061,	1.198875,	0.277679,	0.722854,	4.287627
6,3,	0.887061,	0.822892,	0.283046,	0.568434,	3.319573
6,4,	0.860001,	0.634896,	0.277187,	0.520102,	2.990563
6,5,	0.821057,	0.461933,	0.274992,	0.475726,	2.748688
6,6,	0.781058,	0.429612,	0.292066,	0.448106,	2.575623
6,7,	0.779053,	0.415028,	0.282220,	0.419143,	2.482534
6,8,	0.741063,	0.376884,	0.286309,	0.419379,	2.351604
6,9,	0.764874,	0.347054,	0.270045,	0.397589,	2.335620
6,10,	0.717059,	0.256323,	0.277531,	0.402541,	2.268587
6,11,	0.747061,	0.257031,	0.295924,	0.372705,	2.256361
6,12,	0.715864,	0.351070,	0.294412,	0.390148,	2.211695
6,13,	0.750999,	0.214421,	0.339682,	0.401673,	2.271665
6,14,	0.757002,	0.220385,	0.352373,	0.423670,	2.270159
6,15,	0.719000,	0.268588,	0.331611,	0.380492,	2.220155
6,16,	0.692064,	0.239761,	0.379973,	0.369627,	2.206360
6,17,	0.704863,	0.262100,	0.331171,	0.349972,	2.168042
6,18,	0.734001,	0.229126,	0.334772,	0.375654,	2.289145
6,19,	0.719144,	0.287818,	0.343667,	0.345494,	2.297251
6,20,	0.729058,	0.283075,	0.325948,	0.342486,	2.237412
6,21,	0.749060,	0.235397,	0.359607,	0.375260,	2.320199
6,22,	0.724000,	0.240913,	0.371349,	0.382851,	2.330493
6,23,	0.724003,	0.269445,	0.316988,	0.334300,	2.286402	
6,24,	0.699903,	0.297030,	0.340378,	0.344509,	2.271903	
7,1,	1.886099,	2.997197,	0.394338,	1.568987,	10.672471	
7,2,	1.434000,	1.601943,	0.360957,	1.014535,	5.621626	
7,3,	1.274000,	1.092855,	0.400390,	0.835968,	4.535921	
7,4,	1.172001,	0.777940,	0.390355,	0.723078,	3.944642	
7,5,	1.149999,	0.651941,	0.365764,	0.659996,	3.610635	
7,6,	1.103999,	0.575934,	0.398624,	0.616123,	3.446609	
7,7,	1.051053,	0.531888,	0.406326,	0.611679,	3.340597	
7,8,	1.088058,	0.453873,	0.412978,	0.601602,	3.240612	
7,9,	1.013085,	0.403848,	0.365563,	0.604132,	3.136680	
7,10,	1.006063,	0.319586,	0.404816,	0.552344,	3.091433	
7,11,	0.993102,	0.437831,	0.386626,	0.509217,	2.934677	
7,12,	0.942104,	0.319866,	0.393694,	0.512396,	2.898569	
7,13,	1.029053,	0.284867,	0.442219,	0.518464,	2.909652	
7,14,	0.973002,	0.313805,	0.428991,	0.523655,	2.885100	
7,15,	0.967058,	0.321918,	0.375673,	0.573998,	2.961580	
7,16,	0.996057,	0.277983,	0.417482,	0.571996,	3.034621	
7,17,	1.013029,	0.307470,	0.420620,	0.507471,	2.968769	
7,18,	0.974057,	0.335914,	0.421841,	0.493622,	2.878654	
7,19,	0.936055,	0.296466,	0.446659,	0.507740,	2.952865	
7,20,	0.927115,	0.314816,	0.428370,	0.486477,	2.892282	
7,21,	0.980058,	0.339025,	0.436147,	0.507467,	3.006620	
7,22,	0.924058,	0.333225,	0.445748,	0.560000,	3.042892	
7,23,	0.952001,	0.283636,	0.413975,	0.468652,	2.907834	
