MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
10,5,	1.576004,	0.422991,	0.225050,	2.146983,	5.910184
10,6,	1.496001,	0.335933,	0.254576,	2.133460,	5.679835
10,7,	1.478001,	0.344936,	0.219936,	2.105885,	5.584125
10,8,	1.550001,	0.357939,	0.210439,	2.185987,	5.637123
10,9,	1.450000,	0.283963,	0.225734,	2.148959,	5.550390
10,10,	1.444001,	0.255940,	0.213367,	2.205987,	5.511116
10,11,	1.438001,	0.273937,	0.235775,	2.144232,	5.487069
10,12,	1.384001,	0.230929,	0.230563,	2.212998,	5.421371
10,13,	1.404319,	0.205643,	0.259444,	2.191000,	5.293069
10,14,	1.498620,	0.165382,	0.252880,	2.141847,	5.344490
10,15,	1.357085,	0.199872,	0.240133,	2.202288,	5.182228
10,16,	1.391096,	0.167558,	0.289873,	2.201998,	5.434219
10,17,	1.282138,	0.188252,	0.246887,	2.105991,	5.227063
10,18,	1.424190,	0.237759,	0.305677,	2.128481,	5.332208
10,19,	1.335089,	0.207922,	0.326236,	2.153712,	5.273747
10,20,	1.431107,	0.212840,	0.259648,	2.090913,	5.352231
10,21,	1.411223,	0.241813,	0.285517,	2.123984,	5.384215
10,22,	1.368117,	0.264864,	0.280020,	2.134392,	5.434572
10,23,	1.318167,	0.256770,	0.249540,	2.146982,	5.374431
10,24,	1.366118,	0.224590,	0.247533,	2.166558,	5.459558
11,1,	3.255002,	2.117647,	0.324541,	2.549831,	16.651220
11,2,	2.385001,	1.082174,	0.268656,	2.600770,	9.001500
11,3,	2.106003,	0.819925,	0.254985,	2.511093,	7.737821
11,4,	1.985003,	0.608925,	0.260255,	2.586987,	7.233405	
11,5,	1.862002,	0.520389,	0.285254,	2.548780,	7.014513
11,6,	1.862000,	0.494934,	0.289107,	2.520781,	6.822590
11,7,	1.870000,	0.395668,	0.356699,	2.456987,	6.674354
11,8,	1.731999,	0.370927,	0.263093,	2.552769,	6.499545
11,9,	1.749002,	0.289922,	0.261411,	2.494869,	6.579516
11,10,	1.808002,	0.353026,	0.315858,	2.544982,	6.656196
11,11,	1.668002,	0.335931,	0.304597,	2.552997,	6.346065
11,12,	1.705001,	0.333740,	0.281239,	2.559991,	6.555519
11,13,	1.646000,	0.186550,	0.331140,	2.533730,	6.130128
11,14,	1.684773,	0.158036,	0.332490,	2.516986,	6.181220
11,15,	1.624438,	0.230077,	0.341973,	2.513271,	6.137185
11,16,	1.790840,	0.253661,	0.333014,	2.621612,	6.514395
11,17,	1.714073,	0.214270,	0.321099,	2.536652,	6.607249
11,18,	1.651569,	0.202341,	0.362389,	2.493895,	6.322333
11,19,	1.663106,	0.301599,	0.327288,	2.550985,	6.367351
11,20,	1.655059,	0.246226,	0.328505,	2.546990,	6.375751
11,21,	1.593637,	0.361446,	0.303105,	2.539797,	6.256203
11,22,	1.619660,	0.276244,	0.298258,	2.529025,	6.288065
11,23,	1.679699,	0.185412,	0.310890,	2.436990,	6.474741
11,24,	1.678174,	0.281764,	0.351697,	2.580380,	6.519258
12,1,	3.117005,	2.128904,	0.269530,	2.590949,	11.160121
12,2,	2.458003,	1.142016,	0.261291,	2.521753,	7.737829
12,3,	2.227005,	0.837934,	0.277128,	2.618922,	7.118262
12,4,	2.022004,	0.574954,	0.326735,	2.520981,	6.577551	
12,5,	1.901003,	0.454193,	0.267982,	2.518318,	6.268034
12,6,	1.898999,	0.533937,	0.293657,	2.624068,	6.236209
12,7,	1.755000,	0.377956,	0.323010,	2.570224,	6.036426
12,8,	1.765002,	0.486021,	0.260491,	2.474992,	5.984127
12,9,	1.771002,	0.416948,	0.315265,	2.578332,	6.059252
12,10,	1.801000,	0.365918,	0.268988,	2.522805,	5.954358
12,11,	1.781005,	0.300920,	0.288056,	2.527985,	5.891338
12,12,	1.692004,	0.244947,	0.317041,	2.497859,	5.701340
12,13,	1.810001,	0.215808,	0.303069,	2.568984,	5.769410
12,14,	1.665088,	0.281917,	0.287745,	2.628118,	5.755805
12,15,	1.672042,	0.248519,	0.309539,	2.560969,	5.661534
12,16,	1.638170,	0.246706,	0.347548,	2.618982,	5.703595
12,17,	1.744940,	0.213527,	0.356313,	2.507955,	5.685111
12,18,	1.662193,	0.312332,	0.268076,	2.520985,	5.778966
12,19,	1.748108,	0.307480,	0.330722,	2.598159,	5.894195
12,20,	1.589152,	0.367824,	0.274179,	2.499180,	5.619580
12,21,	1.691117,	0.315264,	0.329767,	2.502953,	5.794153
12,22,	1.566225,	0.373727,	0.295301,	2.610980,	5.852342
12,23,	1.744179,	0.245441,	0.338851,	2.564999,	5.934195
12,24,	1.577999,	0.289872,	0.361889,	2.523029,	5.612185
13,1,	3.669001,	2.489234,	0.313169,	2.946998,	19.353938
13,2,	2.836171,	1.306907,	0.302180,	2.950997,	10.364465
13,3,	2.621006,	0.912948,	0.313148,	2.907996,	8.925417
13,4,	2.457005,	0.818920,	0.313174,	2.943995,	8.526672	
13,5,	2.338004,	0.534931,	0.302062,	2.875986,	7.920137	
13,6,	2.198003,	0.499928,	0.313840,	2.897995,	7.873947
13,7,	2.197003,	0.488924,	0.313488,	2.908995,	7.751327
13,8,	2.143007,	0.377921,	0.300498,	2.984993,	7.555004
13,9,	2.055002,	0.436938,	0.311469,	2.924992,	7.593711
13,10,	2.168226,	0.292734,	0.346072,	2.920965,	7.514247
13,11,	2.095007,	0.328927,	0.302863,	2.885967,	7.618807
13,12,	2.002002,	0.307922,	0.351361,	2.956994,	7.714242
13,13,	2.049071,	0.222274,	0.427469,	2.985997,	7.375033
13,14,	1.976177,	0.266792,	0.410013,	2.909993,	7.157006
13,15,	2.007430,	0.273545,	0.312450,	2.928993,	7.219211
13,16,	2.019460,	0.208782,	0.362862,	2.952992,	7.410127
13,17,	1.936001,	0.318209,	0.347370,	2.838994,	7.137618
13,18,	1.957000,	0.268454,	0.363735,	2.911994,	7.227010
13,19,	1.958002,	0.277933,	0.408039,	2.974996,	7.364368
13,20,	2.010107,	0.346845,	0.336421,	2.909994,	7.368200
13,21,	1.907924,	0.284429,	0.327216,	2.821995,	7.700279
13,22,	1.988055,	0.329556,	0.370470,	2.910995,	7.518212
13,23,	1.941038,	0.332778,	0.298114,	2.908992,	7.900933
13,24,	1.905549,	0.399452,	0.445286,	2.899963,	7.291456
14,1,	3.724004,	2.461923,	0.313138,	2.874961,	13.166578
14,2,	2.932009,	1.262707,	0.313175,	2.873964,	8.696220
14,3,	2.539005,	0.907082,	0.389282,	2.985993,	8.036062
14,4,	2.393004,	0.794960,	0.322308,	2.875997,	7.363928	
14,5,	2.364385,	0.589689,	0.312645,	2.850964,	7.365783
14,6,	2.189999,	0.573951,	0.329139,	2.885991,	7.079444
14,7,	2.162004,	0.526934,	0.408595,	2.888963,	7.086679
14,8,	2.126003,	0.447929,	0.329550,	2.968992,	7.028410
14,9,	2.112027,	0.503936,	0.292983,	2.938994,	7.078517
14,10,	2.023002,	0.531229,	0.299888,	2.853963,	6.893069
14,11,	2.106003,	0.468107,	0.307490,	2.918989,	6.785145
14,12,	1.995004,	0.452781,	0.365649,	2.842993,	6.704199
14,13,	2.022150,	0.303850,	0.321433,	2.875992,	6.592828
14,14,	1.935151,	0.235861,	0.346601,	2.891994,	6.415221
14,15,	2.024089,	0.304975,	0.313941,	2.896994,	6.688375
14,16,	1.951199,	0.348745,	0.305047,	3.027993,	6.556540
14,17,	2.078005,	0.327630,	0.311970,	2.950988,	6.657193
14,18,	1.892998,	0.268683,	0.353246,	2.954993,	6.555820
14,19,	1.927100,	0.354384,	0.313850,	2.961993,	6.890320
14,20,	1.944082,	0.335302,	0.344718,	2.911978,	6.648202
14,21,	1.985063,	0.312891,	0.357784,	2.917992,	6.671125
14,22,	2.038426,	0.261821,	0.360856,	2.831997,	6.543023
14,23,	1.876121,	0.369858,	0.332427,	2.845993,	6.528470
14,24,	1.921167,	0.405632,	0.382790,	2.842990,	6.984282
15,1,	4.276005,	2.814980,	0.360713,	3.239993,	15.229946
15,2,	3.305006,	1.489926,	0.442808,	3.363992,	10.077857
15,3,	2.907004,	1.106929,	0.351387,	3.241957,	8.965126
15,4,	2.668006,	0.885924,	0.345325,	3.349998,	8.478259	
15,5,	2.592005,	0.780925,	0.349120,	3.305997,	8.200128	
15,6,	2.469002,	0.614951,	0.344660,	3.250989,	8.048131
15,7,	2.498002,	0.574945,	0.367804,	3.250992,	7.995733
15,8,	2.439005,	0.569907,	0.350139,	3.361994,	7.798528
15,9,	2.431003,	0.447921,	0.343461,	3.286962,	7.851450
15,10,	2.362001,	0.423694,	0.446189,	3.301987,	7.715824
15,11,	2.308002,	0.540940,	0.364583,	3.308991,	7.710575
15,12,	2.368005,	0.432916,	0.337751,	3.228989,	7.655607
15,13,	2.401145,	0.234866,	0.398714,	3.338994,	7.469662
15,14,	2.271156,	0.287525,	0.402397,	3.162965,	7.455535
15,15,	2.290002,	0.271339,	0.469410,	3.325992,	7.856553
15,16,	2.316166,	0.246835,	0.434429,	3.301995,	7.558191
15,17,	2.256004,	0.250406,	0.408074,	3.276993,	7.495490
15,18,	2.268985,	0.308868,	0.421744,	3.282979,	7.578441
15,19,	2.155550,	0.382167,	0.377147,	3.264993,	7.445184
15,20,	2.228140,	0.425931,	0.366774,	3.233962,	7.373319
15,21,	2.289505,	0.316646,	0.410410,	3.259965,	7.599976
15,22,	2.208001,	0.326905,	0.496280,	3.263991,	7.392189
15,23,	2.245908,	0.375024,	0.355911,	3.185968,	7.325077
15,24,	2.220509,	0.330598,	0.485805,	3.252993,	7.679410
16,1,	4.185004,	2.839147,	0.360491,	3.111057,	11.572404
16,2,	3.364006,	1.488185,	0.450923,	3.385197,	9.349007
6,3,	2.742005,	1.084936,	0.370656,	3.213501,	8.371216
16,4,	2.814007,	0.807929,	0.350575,	3.292070,	8.271818	
16,5,	2.546008,	0.707924,	0.360219,	3.324012,	7.725304
16,6,	2.607001,	0.663927,	0.360560,	3.433012,	7.877371
16,7,	2.413998,	0.712942,	0.358069,	3.246382,	7.658738
16,8,	2.381001,	0.621952,	0.368070,	3.231320,	7.606553
16,9,	2.506009,	0.399966,	0.400356,	3.310382,	7.422708
16,10,	2.320181,	0.593816,	0.434451,	3.245842,	7.434036
