MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
4,19,	0.224534,	0.352271,	0.216712,	0.181039,	0.975201,

4,20,	0.228154,	0.348372,	0.218839,	0.183632,	0.979344,

4,21,	0.233158,	0.341461,	0.222232,	0.175980,	0.984153,

4,22,	0.229274,	0.318012,	0.233012,	0.175533,	1.022401,

4,23,	0.217791,	0.323751,	0.220954,	0.183483,	0.982720,

4,24,	0.283340,	0.374805,	0.216583,	0.181484,	1.085170,

4,25,	0.216090,	0.364917,	0.218147,	0.169714,	0.969152,

4,26,	0.213808,	0.354320,	0.218449,	0.171541,	1.002314,

4,27,	0.216784,	0.372862,	0.218076,	0.169944,	0.977955,

4,28,	0.218289,	0.361824,	0.217993,	0.169155,	0.967550,

4,29,	0.217517,	0.342324,	0.223249,	0.169621,	0.992867,

4,30,	0.215177,	0.378912,	0.218652,	0.166588,	0.979643,

5,1,	0.490810,	0.833523,	0.116707,	0.540012,	5.082200,

5,2,	0.356878,	0.455115,	0.108014,	0.348026,	3.055068,

5,3,	0.311807,	0.326028,	0.108676,	0.290926,	2.392455,

5,4,	0.288076,	0.262334,	0.110237,	0.253912,	2.069855,

5,5,	0.275111,	0.223327,	0.110235,	0.234255,	1.871346,

5,6,	0.268200,	0.201496,	0.110548,	0.219647,	1.742309,

5,7,	0.260848,	0.191869,	0.110861,	0.217957,	1.656268,

5,8,	0.256459,	0.187126,	0.110850,	0.208670,	1.582307,

5,9,	0.253245,	0.179834,	0.113172,	0.199900,	1.540218,

5,10,	0.250618,	0.168494,	0.112942,	0.193225,	1.510646,

5,11,	0.260104,	0.157069,	0.109497,	0.191288,	1.488431,

5,12,	0.259579,	0.160893,	0.111383,	0.198255,	1.473957,

5,13,	0.259123,	0.167631,	0.114042,	0.193462,	1.457323,

5,14,	0.260896,	0.268137,	0.115868,	0.194411,	1.446093,

5,15,	0.254969,	0.162353,	0.113216,	0.187704,	1.430298,

5,16,	0.263501,	0.176416,	0.111336,	0.185982,	1.483662,

5,17,	0.291173,	0.175072,	0.123128,	0.179708,	1.433544,

5,18,	0.274513,	0.179564,	0.109410,	0.183767,	1.418070,

5,19,	0.285529,	0.199647,	0.120677,	0.180870,	1.433940,

5,20,	0.280871,	0.212695,	0.129082,	0.188659,	1.400301,

5,21,	0.280666,	0.184957,	0.113580,	0.190337,	1.410094,

5,22,	0.289947,	0.229143,	0.129929,	0.185415,	1.485441,

5,23,	0.351743,	0.212511,	0.122624,	0.216736,	1.591851,

5,24,	0.367357,	0.225797,	0.139256,	0.224127,	1.594927,

5,25,	0.249258,	0.182077,	0.110930,	0.187957,	1.407187,

5,26,	0.250630,	0.204710,	0.126146,	0.185413,	1.364893,

5,27,	0.250024,	0.194725,	0.121216,	0.186104,	1.461582,

5,28,	0.249099,	0.193338,	0.135390,	0.186074,	1.376355,

5,29,	0.254885,	0.165658,	0.115251,	0.183610,	1.426710,

5,30,	0.248533,	0.228939,	0.130507,	0.184312,	1.395190,

6,1,	0.494104,	0.837569,	0.107692,	0.545335,	3.001507,

6,2,	0.357146,	0.451539,	0.107304,	0.350880,	1.857651,

6,3,	0.312215,	0.331660,	0.107583,	0.296403,	1.488384,

6,4,	0.292247,	0.264969,	0.108974,	0.260254,	1.300576,

6,5,	0.276667,	0.225066,	0.109987,	0.239163,	1.198107,

6,6,	0.272264,	0.216068,	0.110517,	0.235353,	1.135016,

6,7,	0.264897,	0.198297,	0.110990,	0.223676,	1.082483,

6,8,	0.259610,	0.192575,	0.110615,	0.213981,	1.044496,

6,9,	0.257448,	0.188282,	0.114081,	0.207645,	1.030675,

6,10,	0.252941,	0.163040,	0.124504,	0.201766,	1.012520,

6,11,	0.258952,	0.180924,	0.113121,	0.198647,	1.025245,

6,12,	0.263086,	0.186615,	0.113377,	0.201240,	1.020638,

6,13,	0.273704,	0.173859,	0.129258,	0.204804,	1.019830,

6,14,	0.260199,	0.195991,	0.113077,	0.203087,	0.999612,

6,15,	0.262360,	0.174788,	0.141497,	0.200299,	1.000984,

6,16,	0.292807,	0.194370,	0.130117,	0.197140,	1.059634,

6,17,	0.286680,	0.250901,	0.120653,	0.194143,	1.040295,

6,18,	0.298166,	0.188935,	0.132217,	0.192019,	1.101382,

6,19,	0.303456,	0.220062,	0.132269,	0.202393,	1.094193,

6,20,	0.302431,	0.281386,	0.121349,	0.194715,	1.125070,

6,21,	0.321315,	0.231237,	0.126819,	0.184520,	1.130286,

6,22,	0.294774,	0.242367,	0.127026,	0.190139,	1.087012,

6,23,	0.360510,	0.249527,	0.128125,	0.222937,	1.209361,

6,24,	0.375759,	0.231157,	0.125135,	0.248164,	1.268214,

6,25,	0.261264,	0.196792,	0.132819,	0.195054,	1.060659,

6,26,	0.258750,	0.202643,	0.136404,	0.194673,	1.130558,

6,27,	0.253114,	0.228068,	0.130950,	0.193446,	1.088780,

6,28,	0.253693,	0.256926,	0.130364,	0.194025,	1.092445,

6,29,	0.258083,	0.172533,	0.130368,	0.191402,	1.082649,

6,30,	0.255864,	0.217170,	0.131170,	0.188232,	1.073294,

7,1,	0.494128,	0.830467,	0.107169,	0.557152,	3.007351,

7,2,	0.359342,	0.457228,	0.107837,	0.361092,	1.873449,

7,3,	0.314958,	0.333424,	0.120268,	0.304884,	1.507071,

7,4,	0.293137,	0.275791,	0.109642,	0.273085,	1.347240,

7,5,	0.284076,	0.249087,	0.110505,	0.259919,	1.245042,

7,6,	0.274951,	0.222796,	0.124378,	0.242083,	1.160469,

7,7,	0.266876,	0.209310,	0.110254,	0.232504,	1.148366,

7,8,	0.263934,	0.225501,	0.124787,	0.233333,	1.107984,

7,9,	0.266049,	0.234444,	0.123861,	0.217989,	1.070670,

7,10,	0.266351,	0.224629,	0.113449,	0.218804,	1.066762,

7,11,	0.260870,	0.212296,	0.129552,	0.220765,	1.047396,

7,12,	0.282134,	0.249842,	0.126766,	0.226028,	1.084388,

7,13,	0.271868,	0.237735,	0.111602,	0.234302,	1.126047,

7,14,	0.280641,	0.228075,	0.112660,	0.217533,	1.094226,

7,15,	0.280819,	0.263505,	0.110571,	0.216440,	1.114865,

7,16,	0.311893,	0.238283,	0.142045,	0.238122,	1.177948,

7,17,	0.300157,	0.299240,	0.128930,	0.221227,	1.168431,

7,18,	0.311541,	0.226845,	0.142793,	0.234955,	1.150288,

7,19,	0.307527,	0.307900,	0.124794,	0.226748,	1.161329,

7,20,	0.328932,	0.285544,	0.133889,	0.224401,	1.227749,

7,21,	0.315880,	0.401734,	0.111438,	0.201469,	1.126792,

7,22,	0.397895,	0.317007,	0.128600,	0.255661,	1.363215,

7,23,	0.406693,	0.342735,	0.137457,	0.264075,	1.417167,

7,24,	0.417118,	0.325390,	0.166670,	0.267883,	1.400288,

7,25,	0.257354,	0.302067,	0.131324,	0.210566,	1.084974,

7,26,	0.268966,	0.338259,	0.126705,	0.210795,	1.113954,

7,27,	0.259246,	0.285494,	0.125090,	0.205639,	1.140334,

7,28,	0.260079,	0.269305,	0.145673,	0.210960,	1.112738,

7,29,	0.266337,	0.247362,	0.149105,	0.206383,	1.176946,

7,30,	0.262880,	0.320841,	0.123693,	0.202640,	1.116632,

8,1,	0.495386,	0.832617,	0.107467,	0.570956,	2.012547,

8,2,	0.360023,	0.460047,	0.108081,	0.365295,	1.296432,

8,3,	0.315208,	0.331368,	0.107660,	0.314582,	1.075749,

8,4,	0.295086,	0.290238,	0.107676,	0.293087,	0.986659,

8,5,	0.281500,	0.253658,	0.107719,	0.271044,	0.914231,

8,6,	0.274593,	0.224660,	0.107718,	0.253974,	0.871070,

8,7,	0.279052,	0.228235,	0.108348,	0.247472,	0.886517,

8,8,	0.279509,	0.235111,	0.108104,	0.238812,	0.887394,

8,9,	0.275557,	0.239799,	0.108099,	0.238603,	0.872132,

8,10,	0.275437,	0.237778,	0.111899,	0.241514,	0.878321,

8,11,	0.275887,	0.223229,	0.111547,	0.228310,	0.879106,

8,12,	0.272435,	0.242002,	0.109629,	0.238655,	0.894970,

8,13,	0.303248,	0.257436,	0.109545,	0.239440,	0.938833,

8,14,	0.321475,	0.255820,	0.108309,	0.234626,	0.951469,

8,15,	0.327093,	0.292076,	0.113573,	0.233948,	0.994830,

8,16,	0.327353,	0.246014,	0.114205,	0.256879,	1.003965,

8,17,	0.355506,	0.284615,	0.108484,	0.225270,	1.004645,

8,18,	0.354653,	0.237038,	0.128969,	0.249902,	1.046142,

8,19,	0.352040,	0.322129,	0.110930,	0.248996,	1.058133,

8,20,	0.343863,	0.298989,	0.111003,	0.253565,	1.067058,

8,21,	0.352959,	0.239130,	0.159237,	0.255154,	1.075517,

8,22,	0.433202,	0.269489,	0.142646,	0.272646,	1.178506,

8,23,	0.441604,	0.341892,	0.115677,	0.270095,	1.203261,

8,24,	0.454487,	0.367123,	0.112596,	0.284412,	1.262063,

8,25,	0.259359,	0.330030,	0.110322,	0.219700,	0.946096,

8,26,	0.267169,	0.276176,	0.127654,	0.217015,	0.929768,

8,27,	0.266754,	0.285969,	0.121011,	0.228094,	0.922616,

8,28,	0.260348,	0.269686,	0.123527,	0.219557,	0.926342,

8,29,	0.257668,	0.272682,	0.118454,	0.215412,	0.922154,

8,30,	0.263046,	0.302997,	0.122964,	0.211932,	0.973565,

9,1,	0.530067,	0.402079,	0.053890,	0.602606,	5.149582,

9,2,	0.387052,	0.222920,	0.054935,	0.389349,	3.153429,

9,3,	0.339210,	0.168133,	0.055235,	0.324055,	2.475371,

9,4,	0.315148,	0.141175,	0.054874,	0.299036,	2.142914,

9,5,	0.301538,	0.122167,	0.054244,	0.270941,	1.953506,

9,6,	0.299922,	0.114884,	0.055343,	0.266980,	1.837938,

9,7,	0.293498,	0.127123,	0.054504,	0.251886,	1.738871,

9,8,	0.292283,	0.134074,	0.055225,	0.244066,	1.701117,

9,9,	0.297944,	0.128637,	0.054751,	0.229990,	1.630213,

9,10,	0.293130,	0.123710,	0.056864,	0.231934,	1.633036,

9,11,	0.295116,	0.148907,	0.055318,	0.226727,	1.574755,

9,12,	0.304561,	0.146482,	0.054372,	0.236401,	1.623286,

9,13,	0.296736,	0.129015,	0.056851,	0.231937,	1.582942,

9,14,	0.351636,	0.146660,	0.057193,	0.243249,	1.619785,

9,15,	0.322066,	0.153795,	0.073912,	0.235728,	1.606831,

9,16,	0.358357,	0.140125,	0.062072,	0.231594,	1.572761,

9,17,	0.359976,	0.158506,	0.076373,	0.240330,	1.660927,

9,18,	0.395683,	0.170943,	0.071349,	0.241586,	1.611182,

9,19,	0.390280,	0.179419,	0.067895,	0.236386,	1.613988,

9,20,	0.410604,	0.181888,	0.059461,	0.242013,	1.623175,

9,21,	0.474998,	0.170702,	0.070521,	0.277140,	1.788564,

9,22,	0.481790,	0.136119,	0.056636,	0.289815,	1.801457,

9,23,	0.501423,	0.227099,	0.067660,	0.298733,	1.822385,

9,24,	0.515761,	0.226255,	0.057921,	0.301050,	1.846213,

9,25,	0.278962,	0.168457,	0.070273,	0.217453,	1.514495,

9,26,	0.279760,	0.188121,	0.064663,	0.222891,	1.520979,

9,27,	0.273859,	0.134408,	0.066215,	0.215535,	1.497658,

9,28,	0.278598,	0.223338,	0.060033,	0.213367,	1.496723,

9,29,	0.281728,	0.185483,	0.057855,	0.218005,	1.526448,

9,30,	0.279164,	0.184971,	0.056822,	0.217715,	1.521786,

10,1,	0.532669,	0.402688,	0.053615,	0.605731,	3.098217,

10,2,	0.388635,	0.226799,	0.054593,	0.393512,	1.941255,

10,3,	0.343637,	0.172795,	0.055342,	0.333908,	1.571028,

10,4,	0.319290,	0.142470,	0.055871,	0.304829,	1.396660,

10,5,	0.306995,	0.120576,	0.064531,	0.278006,	1.281488,

10,6,	0.298472,	0.122487,	0.059519,	0.261502,	1.200775,

10,7,	0.294712,	0.127515,	0.068565,	0.247388,	1.161354,

10,8,	0.288862,	0.115352,	0.065053,	0.254422,	1.123499,

10,9,	0.290441,	0.114534,	0.068406,	0.246976,	1.110902,

10,10,	0.288853,	0.120805,	0.055669,	0.245111,	1.102095,

10,11,	0.302140,	0.127900,	0.066490,	0.254792,	1.131165,

10,12,	0.321610,	0.152417,	0.073735,	0.248193,	1.167527,

10,13,	0.307914,	0.129694,	0.066953,	0.246037,	1.129646,

10,14,	0.329520,	0.161552,	0.062413,	0.244097,	1.136847,

10,15,	0.378570,	0.155983,	0.056481,	0.244931,	1.200873,

10,16,	0.371059,	0.157821,	0.077213,	0.244351,	1.184562,

10,17,	0.414133,	0.163104,	0.068321,	0.247623,	1.295657,

10,18,	0.415521,	0.222984,	0.070574,	0.256126,	1.275758,

10,19,	0.438571,	0.133622,	0.066818,	0.257799,	1.327055,

10,20,	0.397976,	0.208214,	0.063074,	0.261819,	1.312471,

10,21,	0.506516,	0.193453,	0.087867,	0.308399,	1.466111,

10,22,	0.526379,	0.187860,	0.067360,	0.304281,	1.437824,

