MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
10,25,	0.868989,	0.145030,	0.279929,	0.587741,	2.689959,	
10,26,	0.745082,	0.189834,	0.204694,	0.564007,	2.440246,	
10,27,	0.822325,	0.158394,	0.139191,	0.604331,	2.684261,	
10,28,	0.800761,	0.237934,	0.223663,	0.531379,	2.562073,	
10,29,	0.899506,	0.154545,	0.179070,	0.565232,	2.685005,	
10,30,	0.911082,	0.140142,	0.114697,	0.554296,	2.678854,	
11,1,	1.918005,	1.378321,	0.191947,	2.058628,	10.903131,	
11,2,	1.452249,	0.704790,	0.169971,	1.311995,	5.506011,	
11,3,	1.210754,	0.497226,	0.194601,	1.081871,	4.342746,	
11,4,	1.134010,	0.316020,	0.195714,	0.953394,	3.904390,	
11,5,	1.123269,	0.315752,	0.201713,	0.878926,	3.610038,	
11,6,	1.071843,	0.253111,	0.193099,	0.805451,	3.473001,	
11,7,	1.043392,	0.196044,	0.207493,	0.789994,	3.296825,	
11,8,	1.023044,	0.195969,	0.228970,	0.752484,	3.175080,	
11,9,	1.012160,	0.165943,	0.162819,	0.739240,	3.147698,	
11,10,	1.024889,	0.166835,	0.207290,	0.767313,	3.186842,	
11,11,	1.016762,	0.182203,	0.197551,	0.691495,	3.056149,	
11,12,	1.015421,	0.127507,	0.177902,	0.708513,	3.047817,	
11,13,	1.257667,	0.159128,	0.176161,	0.745818,	3.330165,	
11,14,	1.299885,	0.254187,	0.257875,	0.810795,	3.432023,	
11,15,	1.247270,	0.162431,	0.228848,	0.768979,	3.258009,	
11,16,	1.109500,	0.130645,	0.089542,	0.752250,	3.253248,	
11,17,	1.288812,	0.219118,	0.278615,	0.791060,	3.383559,	
11,18,	1.122862,	0.258684,	0.213789,	0.724987,	3.359254,	
11,19,	1.214697,	0.259302,	0.233553,	0.828230,	3.417696,	
11,20,	1.137220,	0.202631,	0.229573,	0.690871,	3.303050,	
11,21,	1.171313,	0.266368,	0.242221,	0.793969,	3.446977,	
11,22,	1.138530,	0.250696,	0.291640,	0.705177,	3.406756,	
11,23,	1.185002,	0.164618,	0.239011,	0.747759,	3.370282,	
11,24,	1.256293,	0.340383,	0.257740,	0.665850,	3.453351,	
11,25,	1.022092,	0.198153,	0.268961,	0.676269,	3.273001,	
11,26,	1.016091,	0.198647,	0.207720,	0.621762,	3.034965,	
11,27,	0.990747,	0.172494,	0.253650,	0.689990,	3.234576,	
11,28,	1.026774,	0.184774,	0.174094,	0.691407,	3.200179,	
11,29,	1.022237,	0.222770,	0.257755,	0.658996,	3.413828,	
11,30,	0.991010,	0.210125,	0.273594,	0.630992,	3.325002,	
12,1,	1.886251,	1.372129,	0.208853,	2.057902,	7.402093,	
12,2,	1.457253,	0.711932,	0.182796,	1.365457,	4.517216,	
12,3,	1.247253,	0.501680,	0.184378,	1.112947,	3.649959,	
12,4,	1.155249,	0.362093,	0.220148,	0.969805,	3.179355,	
12,5,	1.176004,	0.323952,	0.209425,	0.860989,	3.037103,	
12,6,	1.085939,	0.316020,	0.202229,	0.816001,	2.888256,	
12,7,	1.051003,	0.268152,	0.208772,	0.799158,	2.737326,	
12,8,	1.024753,	0.232936,	0.225594,	0.750772,	2.627925,	
12,9,	1.047909,	0.209805,	0.204196,	0.720387,	2.619508,	
12,10,	1.064799,	0.191556,	0.196287,	0.734614,	2.693000,	
12,11,	1.005160,	0.172531,	0.191075,	0.695207,	2.518916,	
12,12,	1.004861,	0.183746,	0.213668,	0.707902,	2.545028,	
12,13,	1.163726,	0.143195,	0.249675,	0.834517,	2.762013,	
12,14,	1.136113,	0.160148,	0.194679,	0.779985,	2.874436,	
12,15,	1.324264,	0.219005,	0.219958,	0.841195,	3.096045,	
12,16,	1.145588,	0.234359,	0.184533,	0.761399,	2.828003,	
12,17,	1.242624,	0.231133,	0.259872,	0.756885,	2.884162,	
12,18,	1.230725,	0.224938,	0.257826,	0.781263,	2.946879,	
12,19,	1.146972,	0.144561,	0.266860,	0.741004,	2.869508,	
12,20,	1.073011,	0.276350,	0.245681,	0.798620,	2.874075,	
12,21,	1.217014,	0.190784,	0.248244,	0.708989,	2.901718,	
12,22,	1.131188,	0.227842,	0.245365,	0.762996,	2.819052,	
12,23,	1.200473,	0.273857,	0.245550,	0.755993,	2.969149,	
12,24,	1.238285,	0.246404,	0.311186,	0.731743,	3.051172,	
12,25,	1.034401,	0.177916,	0.141670,	0.705943,	2.599174,	
12,26,	0.988866,	0.193615,	0.256084,	0.741747,	2.616040,	
12,27,	0.942294,	0.206648,	0.257039,	0.671808,	2.511256,	
12,28,	0.985003,	0.195826,	0.279404,	0.673981,	2.607358,	
12,29,	0.999005,	0.182556,	0.273735,	0.695997,	2.721088,	
12,30,	0.999765,	0.208354,	0.321738,	0.671739,	2.625208,	
13,1,	2.211764,	1.594501,	0.237117,	2.377742,	12.825220,	
13,2,	1.679254,	0.813726,	0.208719,	1.571235,	6.413971,	
13,3,	1.509752,	0.561176,	0.222098,	1.244737,	5.128841,	
13,4,	1.510834,	0.424319,	0.210540,	1.006742,	4.548927,	
13,5,	1.327742,	0.353538,	0.191641,	1.036994,	4.255069,	
13,6,	1.292005,	0.315934,	0.194540,	0.846950,	3.937967,	
13,7,	1.329422,	0.198890,	0.239734,	0.866136,	3.810750,	
13,8,	1.322252,	0.226488,	0.208275,	0.842995,	3.869346,	
13,9,	1.222744,	0.209399,	0.217545,	0.790780,	3.650048,	
13,10,	1.282920,	0.187051,	0.224512,	0.742261,	3.629825,	
13,11,	1.243877,	0.226828,	0.223980,	0.826000,	3.752355,	
13,12,	1.254751,	0.181939,	0.228446,	0.789995,	3.570030,	
13,13,	1.510923,	0.288799,	0.236039,	0.883328,	3.887268,	
13,14,	1.397746,	0.128987,	0.266654,	0.812993,	4.095510,	
13,15,	1.462888,	0.229503,	0.331342,	0.940980,	4.015244,	
13,16,	1.434753,	0.197409,	0.291789,	0.799048,	3.840887,	
13,17,	1.390224,	0.260906,	0.256942,	0.823292,	3.839463,	
13,18,	1.345002,	0.241373,	0.333471,	0.829983,	3.870409,	
13,19,	1.488518,	0.265471,	0.285752,	0.807196,	4.197355,	
13,20,	1.399734,	0.353506,	0.257516,	0.811741,	3.922347,	
13,21,	1.474368,	0.215188,	0.282743,	0.802993,	3.913469,	
13,22,	1.364718,	0.272761,	0.275609,	0.747185,	3.798029,	
